mediaid,title,owner_username,date_local,mediacount,url,caption,caption_hashtags,caption_mentions,tagged_users,likes,comments,is_sponsored
2805538080872172971,,patryjordan,2022-03-30_18-50-23_UTC,3,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/277627893_500043728457380_4873241653939954665_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=EyTXIHU2O1cAX-c10_-&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAoVqfFo-wq4MdKtTvJrsQZRLxUpFF6qMUHAZwb5_cjeA&oe=6540521C&_nc_sid=bc0c2c,Súper contenta de estar un año más en @premiosvictoriadelabelleza🥰 unos premios en los que los propios consumidores prueban y validan los productos sin conocer la marca🔝#PremiosVDB2022 #embajadora,"['premiosvdb2022', 'embajadora']",['premiosvictoriadelabelleza'],"['carrefoures', 'mirebotica', 'carlesgali', 'hairburst_es', 'biooil_es', 'premiosvictoriadelabelleza', 'lycole_cn']",34059,137,False
2692592279552976863,,patryjordan,2021-10-25_22-47-14_UTC,4,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/248959856_1046759999419539_4967549380148426124_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=XQElYRgoUtkAX-rFQ8b&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBXzQAKgfVjGibvWiB5Fc7JsryxG6gEXoweMfPCo66tYw&oe=65408D18&_nc_sid=bc0c2c,"Gracias @woman_es @diariosport por este premio tan especial❤️
Me siento muy orgullosa de poder representar este reconocimiento que une los dos mundos que me apasionan: la mujer y el deporte. 

Y gracias también a vosotros, por estar aquí💋Me siento muy afortunada!! 

Vestido👗 @lorenapanea 

#premiosWOMANSPORT",['premioswomansport'],"['woman_es', 'diariosport', 'lorenapanea']","['diariosport', 'woman_es', 'gemmamengual', 'lorenapanea']",130797,1132,False
2674347458220724876,,patryjordan,2021-09-30_18-38-02_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/243561756_444679956979454_8731417253913779116_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=DEkrfvgtBZAAX_0FkVy&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCbJtPLxUrJKHno9DUdCkcDCzOEFEur0xyBudpSDMDc7A&oe=6541B069&_nc_sid=bc0c2c,"Hay quiénes dicen que el color del coche refleja la personalidad de quién lo conduce, y hay otros que apuestan más por el reflejo de cualidades o emociones❤️
¿Sabíais que el color rojo denota pasión, deportividad y diversión?😏

Yo no sé si es cierto, pero lo que sí os puedo asegurar es que entre mi @toyota_esp #Yaris #ElectricHybrid y yo hay muchas similitudes, porque siento que me sigue mi ritmo de vida a la perfección. ¡No paramos nunca! 😛No sé si todo el tema de los colores será verdad. Decidme, ¿vosotros lo sentís así? ¿Qué color de coche/moto tenéis?

#ElectricHybrid *publi","['yaris', 'electrichybrid', 'electrichybrid']",['toyota_esp'],"['patryjordan', 'toyota_esp']",34123,141,False
2620724557025531793,,patryjordan,2021-07-18_18-58-54_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/218384311_346342427007329_6273543096515769209_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ZA8NzLytct8AX_aVir7&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCm7LUC-niqM1Rbw9g9XG3Oe97ajgwozBPFgSG0QN-UeA&oe=65411634&_nc_sid=bc0c2c,"Domingo de desconexión y de recargar pilas❤️Tenía ya muchas ganas de pasar un día así!!☺️ 
¿Qué tal habéis pasado vosotros el domingo?",[],[],"['patryjordan', 'cclaudiasoler']",61540,114,False
2602589662327153794,,patryjordan,2021-06-23_18-28-06_UTC,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/206758640_3973650402684056_6213800506849475532_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3ODIuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Hmyz_obi6mEAX-X4C5L&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjYwMjU4OTY2MjMyNzE1Mzc5NA%3D%3D.2-ccb7-5&oh=00_AfAhq4917XZdGMr--k99_vthKbMyIpSRY_b75bHuG8wDxA&oe=6541A9C5&_nc_sid=fc8dfb,"Ahora se nota ya más el calorcito☀️ (aunque tampoco es algo exagerado, pero ya siento que estamos llegando al verano) y empieza a apetecer merendar o tener medias mañanas más refrescantes y sabrosas a la vez. ¡Qué ganas tenía de que empezara a llegar el buen tiempo!🥳

Yo normalmente suelo combinar fruta o frutos secos con yogur (a veces me hago un batido), y os confieso que estoy súper aficionada al yogur natural colado de FAGE Total 0%. A parte de que tiene una textura súper cremosa, es alto en proteína y es 0% en materia grasa. ¿Qué más se puede pedir?😍🙈

¿Qué soléis merendar o picotear entre horas? Dejadme vuestras mejores opciones. ¡Os leo!👀😏

#FAGEColadoPorTi #publi @fage.es","['fagecoladoporti', 'publi']",['fage.es'],"['patryjordan', 'fage.es']",15161,70,False
2575759907363774313,,patryjordan,2021-05-17_18-02-10_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/186861295_960412638035128_5832296350241655891_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=FGtZBdFsKr8AX-ycHWf&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA6jFsv2f1nXG1vhzEQDGXBJqqV7wRIYgO2mHSAuaMbOw&oe=653FF89D&_nc_sid=bc0c2c,"Qué ganas tenía de que hiciera buen tiempo☀️ yo no sé si a vosotros os pasa, pero las horas de luz me dan la vida, siento que se aprovechan mucho más los días🤩 

Me estáis preguntando mucho sobre Missy. El otro día os comenté que estaba un poco malita! Llevamos dos días mejor🙏🏻 aunque el sábado me asusté bastante otra vez porque le dio un ataque. Se hacen querer muchísimo!!🥺

Espero que poco a poco vayamos a mejor!! 
Os mando un beso fuerte y que acabéis de pasar un feliz lunes☺️",[],[],"['oysho', 'patryjordan']",37355,135,False
2551139457866400606,,patryjordan,2021-04-13_18-45-44_UTC,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/172171562_561325318166975_4442640645494766267_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE2OTMuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=sTl0b-xNSCoAX8GvN1z&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjU1MTEzOTQ1Nzg2NjQwMDYwNg%3D%3D.2-ccb7-5&oh=00_AfBRe9YjSkeL6uBS-m8a5wqZUdahRy0JGHGB3xWY0e7WMA&oe=65418CE3&_nc_sid=fc8dfb,"No siempre estarás motivado… pero… tienes que aprender a regalarte sonrisas, aunque no las sientas😊

Porque recuerda, tu actitud impulsa el cambio💫

Confíesame, ¿crees que tienes una buena actitud?👇🏻",[],[],"['oysho', 'patryjordan']",33292,180,False
2547493050563474613,,patryjordan,2021-04-08_18-00-58_UTC,2,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/170102871_309177557219794_7719242006750003838_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=r1o9jG5KpvQAX87fpVi&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBSl2m-4jNafHDeQDcv3lbd2nSHCp_66Np54HhxwIqcMQ&oe=6541213D&_nc_sid=bc0c2c,"¡Os confieso que me encanta este tiempo que está haciendo! 🥰 ¡No sé si os pasa, pero cuando hace buen día es como que te apetece hacer más cosas, estás más activo! Y por supuesto, salir a pasear y a aprovecharlo, ya sea andando o en coche🚘. Tenemos varios sitios preferidos, y allí vamos siempre que podemos.

Ya sabéis que este año soy embajadora del nuevo Toyota #Yaris #ElectricHybrid. Me encanta porque es súper versátil, y me han comunicado que ha sido premiado como Mejor Coche del Año 2021 en Europa. ¡La verdad es que se lo merece!🙌🏻🙌🏻

Realmente … ¡nunca había pensado que me animaría con un coche de este color!🤣🤣 ¿Sois más de colores chillones o más discretos?🤔👇🏻

#Embajadora","['yaris', 'electrichybrid', 'embajadora']",[],"['patryjordan', 'toyota_esp']",26527,92,False
2545386103915887291,,patryjordan,2021-04-05_20-14-50_UTC,3,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/169037730_282409743429105_8240288163452760008_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=RD0_N-Jv0t0AX-UXBAC&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDYrARn8xnSMUJWR1gDlMFyuhILa1t3JpmZxPtP7tMknw&oe=6540FBDA&_nc_sid=bc0c2c,"Si no escalas la montaña, no serás capaz de disfrutar del paisaje!😍🙌🏻

Me apetecía compartiros un poquito de ayer cuando salimos a caminar por una montaña cerca de casa. Qué bien han ido estos días!! Un poco de desconexión y deporte, aunque no mucha porque también hemos aprovechado para avanzar cosas de trabajo💪🏻

¿Qué habéis hecho vosotros estos días?😜👇🏻",[],[],"['oysho', 'patryjordan', 'carlesgali']",67150,168,False
2534452199453187666,,patryjordan,2021-03-21_18-11-07_UTC,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/162410833_912255339537334_4355205009627230511_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzQ5eDE2ODcuc2RyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=QfUa7nMTphAAX-RwqlY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjUzNDQ1MjE5OTQ1MzE4NzY2Ng%3D%3D.2-ccb7-5&oh=00_AfCJ7i5CW8TieMilIWNAkCYss5g-a1P-93kA8gLGvbaCGw&oe=6540A363&_nc_sid=fc8dfb,"Bueno, bueno... 🔥 Ayer os hablaba por stories de @aboutyou_es... Preparaos, porque pasado mañana es el gran lanzamiento🚀 Estad atentos y seguid @aboutyou_es para descubrirlo🙊#AboutyouES #Ad","['aboutyoues', 'ad']","['aboutyou_es', 'aboutyou_es']",['patryjordan'],33467,104,False
