,carpeta_numero,nombre_imagen,textura
87,1493692949341485902,"[['1493692949341485902_1.jpg'], ['2017-04-15_18-48-17_UTC_2.jpg']]","[[['floral', 'print']], [['print']]]"
88,1495122447702307431,[['1495122447702307431.jpg']],[[['print']]]
89,1495290144189509553,"[['1495290144189509553_1.jpg'], ['2017-04-17_23-41-37_UTC_2.jpg']]","[[['print']], [['print']]]"
90,1496045257387793354,[['1496045257387793354.jpg']],[[['print']]]
91,1496543294908443840,[['1496543294908443840.jpg']],"[[['floral', 'print']]]"
92,1496763846286517210,[['1496763846286517210.jpg']],[[['print']]]
93,1497591104651910239,[['1497591104651910239.jpg']],[[['floral']]]
94,1498018097407187468,[['1498018097407187468.jpg']],[[['print']]]
95,1502952529204410863,[['1502952529204410863.jpg']],"[[['floral', 'print']]]"
96,1505501204280276551,[['1505501204280276551.jpg']],[[['floral']]]
97,1506859093464414087,[['1506859093464414087.jpg']],[[['floral']]]
98,1507573951311558712,[['1507573951311558712.jpg']],"[[['floral', 'print']]]"
99,1508003112337516614,[['1508003112337516614.jpg']],"[[['floral', 'print']]]"
100,1508672469577058316,[['1508672469577058316.jpg']],"[[['floral', 'print']]]"
101,1511582543568025013,[['1511582543568025013.jpg']],[[['floral']]]
102,1514911639886814401,[['1514911639886814401.jpg']],"[[['floral', 'print']]]"
103,1519010060595731228,"[['1519010060595731228_1.jpg'], ['1519010060595731228_2.jpg'], ['2017-05-20_17-08-51_UTC_3.jpg']]","[[['print']], [['print']], [['print']]]"
104,1523502343117664326,[['1523502343117664326.jpg']],[[['print']]]
105,1526995383992155816,[['1526995383992155816.jpg']],"[[['floral', 'print']]]"
106,1531365466608501183,[['1531365466608501183.jpg']],[[['print']]]
107,1538769029328661806,[['1538769029328661806.jpg']],[[['print']]]
108,1539275328588019725,[['1539275328588019725.jpg']],"[[['floral', 'print']]]"
109,1541117759910438371,[['1541117759910438371.jpg']],[[['floral']]]
110,1542414269491434163,[['1542414269491434163.jpg']],[[['print']]]
111,1549474903089162979,[['1549474903089162979.jpg']],"[[['floral', 'print']]]"
112,1550889115887725045,[['1550889115887725045.jpg']],[[['print']]]
113,1551954581410364575,"[['1551954581410364575_1.jpg'], ['2017-07-05_04-03-44_UTC_2.jpg']]","[[['print']], [['print']]]"
114,1557371765947366970,[['1557371765947366970.jpg']],"[[['floral', 'print']]]"
115,1566373864945157059,[['1566373864945157059.jpg']],"[[['floral', 'print']]]"
116,1568279421876524368,[['1568279421876524368.jpg']],[[['print']]]
117,1569150875413461806,[['1569150875413461806.jpg']],[[['print']]]
118,1571462525780791760,[['1571462525780791760.jpg']],"[[['floral', 'print']]]"
119,1577902013658811741,"[['1577902013658811741_1.jpg'], ['2017-08-09_23-16-39_UTC_2.jpg']]","[[['print']], [['print']]]"
120,1579300772804420965,[['1579300772804420965.jpg']],[[['print']]]
121,1582230275113448637,[['1582230275113448637.jpg']],[[['print']]]
122,1593234446616696783,[['1593234446616696783.jpg']],[[['print']]]
123,1593933007755019111,"[['1593933007755019111_1.jpg'], ['2017-09-01_02-07-23_UTC_2.jpg']]","[[['print']], [['print']]]"
124,1598209791166180698,[['1598209791166180698.jpg']],"[[['floral', 'print']]]"
125,1598955245520780466,[['1598955245520780466.jpg']],[[['print']]]
126,1611655978305133129,[['1611655978305133129.jpg']],[[['floral']]]
127,1620650371049509560,[['1620650371049509560.jpg']],"[[['floral', 'print']]]"
128,1627248342876736718,[['1627248342876736718.jpg']],[[['print']]]
129,1630149757886486303,[['1630149757886486303.jpg']],[[['print']]]
130,1630876081332624546,[['1630876081332624546.jpg']],[[['print']]]
131,1647360954335263577,[['1647360954335263577.jpg']],"[[['floral', 'print']]]"
132,1652656886081847978,[['1652656886081847978.jpg']],[[['print']]]
133,1657755810589157913,[['1657755810589157913.jpg']],"[[['floral', 'print']]]"
134,1663102172944054107,[['1663102172944054107.jpg']],[[['print']]]
135,1666483628512748395,[['1666483628512748395.jpg']],"[[['floral', 'print']]]"
136,1669937098242802000,[['1669937098242802000.jpg']],[[['floral']]]
137,1675880686042509464,[['1675880686042509464.jpg']],[[['print']]]
138,1677748020692864542,[['1677748020692864542.jpg']],[[['print']]]
139,1681521183738101769,[['1681521183738101769.jpg']],[[['print']]]
140,1682422587407405808,[['1682422587407405808.jpg']],[[['print']]]
141,1683134056079931706,[['1683134056079931706.jpg']],"[[['floral', 'print']]]"
142,1685885297038338171,[['1685885297038338171.jpg']],[[['print']]]
143,1686685528231116017,[['1686685528231116017.jpg']],[[['print']]]
144,1687844820342759419,[['1687844820342759419.jpg']],"[[['floral', 'print']]]"
