,carpeta_numero,nombre_imagen,prediccion
45,3092681816666701209,"[['2023-04-30_23-13-43_UTC_10.jpg'], ['3092681816666701209_1.jpg'], ['3092681816666701209_2.jpg'], ['3092681816666701209_3.jpg'], ['3092681816666701209_4.jpg'], ['3092681816666701209_5.jpg'], ['3092681816666701209_6.jpg'], ['3092681816666701209_7.jpg'], ['3092681816666701209_8.jpg'], ['3092681816666701209_9.jpg']]","[['Jacket'], ['Tee'], ['Tee'], ['Blouse'], ['Tee'], ['Blouse'], ['Dress'], ['Tee'], ['Blouse'], ['Skirt']]"
46,3100047346981224036,"[['2023-05-11_03-07-43_UTC_3.jpg'], ['3100047346981224036_1.jpg'], ['3100047346981224036_2.jpg']]","[['Sweater'], ['Sweater'], ['Sweater']]"
47,3101462096566929684,"[['2023-05-13_01-58-34_UTC_4.jpg'], ['3101462096566929684_1.jpg'], ['3101462096566929684_2.jpg'], ['3101462096566929684_3.jpg']]","[['Dress'], ['Top'], ['Jacket'], ['Shorts']]"
48,3112895692138034727,"[['2023-05-28_20-35-05_UTC_5.jpg'], ['3112895692138034727_1.jpg'], ['3112895692138034727_2.jpg'], ['3112895692138034727_3.jpg'], ['3112895692138034727_4.jpg']]","[['Dress'], ['Dress'], ['Skirt'], ['Sweater'], ['Blouse']]"
49,3113674545450119000,"[['2023-05-29_22-22-32_UTC_3.jpg'], ['3113674545450119000_1.jpg'], ['3113674545450119000_2.jpg']]","[['Top'], ['Tee'], ['Top']]"
50,3120185652469693821,"[['2023-06-07_21-58-56_UTC_3.jpg'], ['3120185652469693821_1.jpg'], ['3120185652469693821_2.jpg']]","[['Skirt'], ['Tee'], ['Jacket']]"
51,3121505150678304384,"[['2023-06-09_17-40-33_UTC_5.jpg'], ['3121505150678304384_1.jpg'], ['3121505150678304384_2.jpg'], ['3121505150678304384_3.jpg'], ['3121505150678304384_4.jpg']]","[['Tee'], ['Tee'], ['Skirt'], ['Tee'], ['Skirt']]"
52,3132725388170039107,"[['2023-06-25_05-13-09_UTC_2.jpg'], ['3132725388170039107_1.jpg']]","[['Jeans'], ['Tee']]"
53,3140325180191353245,"[['2023-07-05_16-52-35_UTC_4.jpg'], ['3140325180191353245_1.jpg'], ['3140325180191353245_2.jpg'], ['3140325180191353245_3.jpg']]","[['Dress'], ['Blouse'], ['Dress'], ['Skirt']]"
54,3141320060275295700,"[['2023-07-07_01-49-14_UTC_2.jpg'], ['3141320060275295700_1.jpg']]","[['Sweater'], ['Sweater']]"
55,3142007064973663500,"[['2023-07-08_00-34-11_UTC_3.jpg'], ['3142007064973663500_1.jpg'], ['3142007064973663500_2.jpg']]","[['Sweater'], ['Tee'], ['Jacket']]"
56,3143489391091422928,"[['2023-07-10_01-39-18_UTC_4.jpg'], ['3143489391091422928_1.jpg'], ['3143489391091422928_2.jpg'], ['3143489391091422928_3.jpg']]","[['Dress'], ['Skirt'], ['Skirt'], ['Tee']]"
