,carpeta_numero,nombre_imagen,prediccion
0,2436768575995168110,"[['2020-11-06_23-31-12_UTC_5.jpg'], ['2436768575995168110_1.jpg'], ['2436768575995168110_2.jpg'], ['2436768575995168110_3.jpg'], ['2436768575995168110_4.jpg']]","[['Shorts'], ['Tee'], ['Blouse'], ['Jeans'], ['Tee']]"
1,2439557980809959490,[['2439557980809959490_1.jpg']],[['Jacket']]
2,2440483800015457194,[['2440483800015457194.jpg']],[['Dress']]
3,2440986872999405163,[['2440986872999405163.jpg']],[['Skirt']]
4,2450438511560929966,"[['2020-11-25_20-10-55_UTC_4.jpg'], ['2450438511560929966_1.jpg'], ['2450438511560929966_2.jpg'], ['2450438511560929966_3.jpg']]","[['Tee'], ['Tee'], ['Shorts'], ['Tee']]"
5,2450620285364632020,"[['2020-11-26_02-12-04_UTC_2.jpg'], ['2450620285364632020_1.jpg']]","[['Sweater'], ['Sweater']]"
6,2453251214809522979,"[['2020-11-29_17-19-16_UTC_2.jpg'], ['2453251214809522979_1.jpg']]","[['Shorts'], ['Jacket']]"
7,2459128660389813266,"[['2020-12-07_19-56-42_UTC_3.jpg'], ['2459128660389813266_1.jpg'], ['2459128660389813266_2.jpg']]","[['Tee'], ['Skirt'], ['Skirt']]"
8,2459875760136355888,[['2459875760136355888.jpg']],[['Dress']]
9,2463530989050654395,[['2463530989050654395.jpg']],[['Shorts']]
10,2463579720076602566,"[['2020-12-13_23-20-09_UTC_10.jpg'], ['2463579720076602566_1.jpg'], ['2463579720076602566_3.jpg'], ['2463579720076602566_4.jpg'], ['2463579720076602566_5.jpg'], ['2463579720076602566_6.jpg'], ['2463579720076602566_7.jpg'], ['2463579720076602566_8.jpg'], ['2463579720076602566_9.jpg']]","[['Blouse'], ['Blouse'], ['Skirt'], ['Jeans'], ['Skirt'], ['Dress'], ['Tee'], ['Tee'], ['Shorts']]"
11,2463591189409305325,[['2463591189409305325.jpg']],[['Jacket']]
12,2469472025488896605,"[['2020-12-22_02-27-07_UTC_4.jpg'], ['2469472025488896605_1.jpg'], ['2469472025488896605_2.jpg'], ['2469472025488896605_3.jpg']]","[['Jacket'], ['Shorts'], ['Tee'], ['Dress']]"
13,2469834867001913409,[['2469834867001913409.jpg']],[['Shorts']]
14,2470097336614231268,[['2470097336614231268.jpg']],[['Tee']]
15,2472240865494741152,"[['2020-12-25_22-08-18_UTC_5.jpg'], ['2472240865494741152_1.jpg'], ['2472240865494741152_2.jpg'], ['2472240865494741152_3.jpg'], ['2472240865494741152_4.jpg']]","[['Jacket'], ['Skirt'], ['Jeans'], ['Skirt'], ['Skirt']]"
16,2475992696930914838,[['2475992696930914838.jpg']],[['Skirt']]
17,2477225519033606649,"[['2021-01-01_19-11-55_UTC_3.jpg'], ['2477225519033606649_1.jpg'], ['2477225519033606649_2.jpg']]","[['Dress'], ['Dress'], ['Skirt']]"
18,2479331852490849341,[['2479331852490849341.jpg']],[['Blouse']]
19,2480729117491015697,[['2480729117491015697.jpg']],[['Dress']]
20,2490281432082394431,"[['2021-01-19_19-31-42_UTC_2.jpg'], ['2490281432082394431_1.jpg']]","[['Skirt'], ['Top']]"
21,2503178785131009665,"[['2021-02-06_14-36-26_UTC_10.jpg'], ['2503178785131009665_1.jpg'], ['2503178785131009665_2.jpg'], ['2503178785131009665_3.jpg'], ['2503178785131009665_4.jpg'], ['2503178785131009665_5.jpg'], ['2503178785131009665_6.jpg'], ['2503178785131009665_7.jpg'], ['2503178785131009665_8.jpg'], ['2503178785131009665_9.jpg']]","[['Top'], ['Top'], ['Jacket'], ['Jacket'], ['Blouse'], ['Tee'], ['Top'], ['Sweater'], ['Skirt'], ['Blouse']]"
22,2512571563522828024,[['2512571563522828024.jpg']],[['Jacket']]
