,carpeta_numero,nombre_imagen,prediccion
93,1477652819842186229,[['1477652819842186229.jpg']],[['Jeans']]
94,1477727205060279843,[['1477727205060279843.jpg']],[['Blouse']]
95,1477908486897333405,[['1477908486897333405.jpg']],[['Skirt']]
96,1478454892108351289,[['1478454892108351289.jpg']],[['Skirt']]
97,1478571867153300770,[['1478571867153300770.jpg']],[['Skirt']]
98,1478681864293894226,[['1478681864293894226.jpg']],[['Skirt']]
99,1479393582863144663,[['1479393582863144663.jpg']],[['Tee']]
100,1480047964827132755,[['1480047964827132755.jpg']],[['Dress']]
101,1480176022212887245,[['1480176022212887245.jpg']],[['Dress']]
102,1480623579481301341,[['1480623579481301341.jpg']],[['Blouse']]
103,1480832934440943173,[['1480832934440943173.jpg']],[['Dress']]
104,1480903385259191183,[['1480903385259191183.jpg']],[['Jeans']]
105,1482232472049527052,[['1482232472049527052.jpg']],[['Tee']]
106,1482324868380541322,[['1482324868380541322.jpg']],[['Dress']]
107,1482798326315119766,[['1482798326315119766.jpg']],[['Blouse']]
108,1482998535393458568,[['1482998535393458568.jpg']],[['Dress']]
109,1484171323357552840,[['1484171323357552840.jpg']],[['Dress']]
110,1484445201963188736,[['1484445201963188736.jpg']],[['Sweater']]
111,1485203739132192306,[['1485203739132192306.jpg']],[['Blouse']]
112,1485715234429491026,[['1485715234429491026.jpg']],[['Dress']]
113,1485922454194818388,[['1485922454194818388.jpg']],[['Dress']]
114,1486699251559821993,[['1486699251559821993.jpg']],[['Jeans']]
115,1487107710817954395,[['1487107710817954395.jpg']],[['Shorts']]
116,1487876062456861495,[['1487876062456861495.jpg']],[['Tee']]
117,1488053777994745638,[['1488053777994745638.jpg']],[['Dress']]
118,1490969733498715374,[['1490969733498715374.jpg']],[['Blouse']]
119,1491673912219514074,[['1491673912219514074.jpg']],[['Dress']]
120,1492291065993865164,[['1492291065993865164.jpg']],[['Shorts']]
121,1492883295066397224,[['1492883295066397224.jpg']],[['Jacket']]
122,1492968516956891942,[['1492968516956891942.jpg']],[['Skirt']]
123,1493144901474138858,[['1493144901474138858.jpg']],[['Blouse']]
124,1493659553631225200,[['1493659553631225200.jpg']],[['Dress']]
125,1494489492735394582,[['1494489492735394582.jpg']],[['Jeans']]
126,1494624818313404253,[['1494624818313404253.jpg']],[['Tee']]
127,1495855714525985355,[['1495855714525985355.jpg']],[['Sweater']]
128,1497285918544683474,[['1497285918544683474.jpg']],[['Tee']]
129,1497537420714602265,[['1497537420714602265.jpg']],[['Jacket']]
130,1498220424802033247,[['1498220424802033247.jpg']],[['Top']]
131,1498820018334250231,[['1498820018334250231.jpg']],[['Blouse']]
132,1498936063661328731,[['1498936063661328731.jpg']],[['Skirt']]
133,1500898191586884858,[['1500898191586884858.jpg']],[['Jacket']]
134,1501169134473104492,[['1501169134473104492.jpg']],[['Dress']]
135,1501777284033318577,[['1501777284033318577.jpg']],[['Shorts']]
