,carpeta_numero,nombre_imagen,prediccion
19,2355639959194542861,"[['2020-07-18_01-03-07_UTC_2.jpg'], ['2355639959194542861_1.jpg']]","[['Jacket'], ['Tee']]"
20,2367945427449252209,"[['2020-08-04_00-31-53_UTC_3.jpg'], ['2367945427449252209_1.jpg'], ['2367945427449252209_2.jpg']]","[['Skirt'], ['Dress'], ['Skirt']]"
21,2385308636229364556,"[['2020-08-27_23-29-29_UTC_2.jpg'], ['2385308636229364556_1.jpg']]","[['Skirt'], ['Blouse']]"
22,2387482545852800823,"[['2020-08-30_23-28-39_UTC_2.jpg'], ['2387482545852800823_1.jpg']]","[['Skirt'], ['Skirt']]"
23,2395458039672148026,"[['2020-09-10_23-34-32_UTC_3.jpg'], ['2395458039672148026_1.jpg'], ['2395458039672148026_2.jpg']]","[['Tee'], ['Tee'], ['Tee']]"
24,2397595211868845055,"[['2020-09-13_22-20-43_UTC_4.jpg'], ['2397595211868845055_1.jpg'], ['2397595211868845055_2.jpg'], ['2397595211868845055_3.jpg']]","[['Sweater'], ['Blouse'], ['Tee'], ['Tee']]"
25,2422372249389480472,"[['2020-10-18_02-48-16_UTC_4.jpg'], ['2422372249389480472_1.jpg'], ['2422372249389480472_2.jpg'], ['2422372249389480472_3.jpg']]","[['Blouse'], ['Blouse'], ['Blouse'], ['Skirt']]"
26,2470119690108475145,"[['2020-12-22_23-53-55_UTC_4.jpg'], ['2470119690108475145_1.jpg'], ['2470119690108475145_2.jpg'], ['2470119690108475145_3.jpg']]","[['Jacket'], ['Shorts'], ['Blouse'], ['Dress']]"
27,2477355789897837373,"[['2021-01-01_23-30-45_UTC_3.jpg'], ['2477355789897837373_1.jpg'], ['2477355789897837373_2.jpg']]","[['Blouse'], ['Jeans'], ['Blouse']]"
28,2536019174591796277,"[['2021-03-23_22-04-25_UTC_2.jpg'], ['2536019174591796277_1.jpg']]","[['Tee'], ['Tee']]"
29,2542605578176151629,"[['2021-04-02_00-10-26_UTC_2.jpg'], ['2542605578176151629_1.jpg']]","[['Shorts'], ['Shorts']]"
30,2544031310110701997,"[['2021-04-03_23-23-06_UTC_2.jpg'], ['2544031310110701997_1.jpg']]","[['Jacket'], ['Dress']]"
31,2554958670888585557,"[['2021-04-19_01-13-49_UTC_3.jpg'], ['2554958670888585557_1.jpg'], ['2554958670888585557_2.jpg']]","[['Dress'], ['Tee'], ['Shorts']]"
32,2555578024609125819,"[['2021-04-19_21-44-22_UTC_2.jpg'], ['2555578024609125819_1.jpg']]","[['Top'], ['Tee']]"
33,2566464138106502651,"[['2021-05-04_22-13-08_UTC_2.jpg'], ['2566464138106502651_1.jpg']]","[['Blouse'], ['Tee']]"
34,2567232000287027681,"[['2021-05-05_23-38-44_UTC_4.jpg'], ['2567232000287027681_1.jpg'], ['2567232000287027681_2.jpg'], ['2567232000287027681_3.jpg']]","[['Dress'], ['Tee'], ['Tee'], ['Sweater']]"
35,2596937829332098778,"[['2021-06-15_23-18-55_UTC_3.jpg'], ['2596937829332098778_1.jpg'], ['2596937829332098778_2.jpg']]","[['Blouse'], ['Tee'], ['Tee']]"
36,2608552460668391018,"[['2021-07-01_23-55-07_UTC_4.jpg'], ['2608552460668391018_1.jpg'], ['2608552460668391018_2.jpg'], ['2608552460668391018_3.jpg']]","[['Tee'], ['Tee'], ['Sweater'], ['Tee']]"
37,2620183242415768183,"[['2021-07-18_01-03-24_UTC_2.jpg'], ['2620183242415768183_1.jpg']]","[['Skirt'], ['Dress']]"
38,2623787758872591064,"[['2021-07-23_00-24-56_UTC_2.jpg'], ['2623787758872591064_1.jpg']]","[['Tee'], ['Dress']]"
