post_id,sentiment_label,prediccion,date_local,likes,comments,textura
2596937829332098778,4.25395958492627,"[['Blouse'], ['Tee'], ['Tee']]",2021-06-15_23-18-55_UTC,429726,1949,"[[['print']], [['print']], [['floral', 'print']]]"
2608552460668391018,4.013462976813762,"[['Tee'], ['Tee'], ['Sweater'], ['Tee']]",2021-07-01_23-55-07_UTC,384244,1424,"[[['graphic']], [['print']], [['graphic']], [['floral', 'print']]]"
2620183242415768183,4.272617611580217,"[['Skirt'], ['Dress']]",2021-07-18_01-03-24_UTC,380476,900,"[[['print']], [['print']]]"
2623787758872591064,4.386153846153846,"[['Tee'], ['Dress']]",2021-07-23_00-24-56_UTC,324052,684,"[[['print']], [['print']]]"
2634639755204961821,4.264028776978417,"[['Dress'], ['Dress']]",2021-08-06_23-45-55_UTC,531926,1538,"[[['floral']], [['print']]]"
2651275434039107981,4.1511238641798185,"[['Tee'], ['Jacket'], ['Tee']]",2021-08-29_22-38-02_UTC,634317,2289,"[[['print']], [['print']], [['print']]]"
2662156614630491390,4.311515151515152,"[['Skirt'], ['Jacket']]",2021-09-13_22-57-00_UTC,372959,874,"[[['floral']], [['print']]]"
2666508193378793407,4.10327868852459,"[['Jacket'], ['Dress'], ['Shorts'], ['Blouse']]",2021-09-19_23-02-49_UTC,365991,674,"[[['floral', 'print']], [['print']], [['floral', 'print']], [['print']]]"
2668694323704583889,4.254237288135593,"[['Sweater'], ['Sweater'], ['Sweater']]",2021-09-22_23-26-16_UTC,276133,727,"[[['floral']], [['floral', 'print']], [['floral']]]"
2668694323704583889,4.254237288135593,"[['Sweater'], ['Sweater'], ['Sweater']]",2021-09-22_23-26-16_UTC,276133,727,"[[['floral']], [['floral', 'print']], [['floral']]]"
2681747289365554019,4.265969802555168,"[['Tee'], ['Tee'], ['Jeans']]",2021-10-10_23-40-10_UTC,338503,909,"[[['print']], [['print']], [['floral']]]"
2692644429872810407,4.263915547024952,"[['Tee'], ['Tee'], ['Tee'], ['Jacket']]",2021-10-26_00-30-51_UTC,429685,1113,"[[['print']], [['print']], [['print']], [['print']]]"
2707861172408896097,3.997338065661047,"[['Jeans'], ['Dress'], ['Shorts']]",2021-11-16_00-23-48_UTC,536444,1252,"[[['floral', 'print']], [['print']], [['floral', 'print']]]"
2712986644771892100,4.199751861042183,"[['Jeans'], ['Tee'], ['Tee']]",2021-11-23_02-07-12_UTC,469458,869,"[[['floral']], [['print']], [['print']]]"
2715057531604136271,4.141756548536209,"[['Tee'], ['Tee'], ['Tee'], ['Shorts'], ['Jeans']]",2021-11-25_22-41-41_UTC,378162,688,"[[['print']], [['floral']], [['floral']], [['floral']], [['floral', 'print']]]"
2720914159385458048,4.142659279778393,"[['Jeans'], ['Tee'], ['Sweater'], ['Sweater']]",2021-12-04_00-37-45_UTC,484396,792,"[[['floral']], [['floral']], [['floral', 'print']], [['floral']]]"
2737603284691861106,4.125130344108446,"[['Blouse'], ['Dress'], ['Dress'], ['Blouse']]",2021-12-27_01-16-04_UTC,553641,1052,"[[['floral', 'print']], [['print']], [['floral']], [['floral', 'print']]]"
2742629501300328761,4.284403669724771,"[['Dress'], ['Jacket']]",2022-01-02_23-42-16_UTC,455279,590,"[[['print']], [['print']]]"
2751342500118627886,4.190997566909975,"[['Tee'], ['Dress']]",2022-01-15_00-13-26_UTC,577781,874,"[[['print']], [['floral']]]"
2754189577542656828,4.306196840826246,"[['Jacket'], ['Sweater']]",2022-01-18_22-30-04_UTC,378410,858,"[[['floral']], [['floral']]]"
2756430132454560633,4.1387900355871885,[['Blouse']],2022-01-22_00-41-39_UTC,535803,1224,[[['floral']]]
2764372575868968714,4.260740740740741,"[['Shorts'], ['Skirt']]",2022-02-01_23-41-52_UTC,456876,730,"[[['print']], [['floral', 'print']]]"
2771633704278362182,3.991094147582697,"[['Skirt'], ['Dress']]",2022-02-12_00-08-26_UTC,503444,850,"[[['print']], [['print']]]"
2778160435071983735,3.9936,"[['Tee'], ['Tee']]",2022-02-21_00-15-53_UTC,420823,810,"[[['floral']], [['print']]]"
2790445467408937524,4.270377733598409,"[['Tee'], ['Tee'], ['Tee'], ['Tee']]",2022-03-09_23-04-03_UTC,361613,569,"[[['print']], [['floral', 'print']], [['print']], [['print']]]"
2799873511433429552,4.335581787521079,"[['Jacket'], ['Jacket']]",2022-03-22_23-15-53_UTC,367157,628,"[[['floral']], [['floral']]]"
2813652433625719991,4.141153081510934,"[['Tee'], ['Blouse']]",2022-04-10_23-32-09_UTC,385489,527,"[[['floral']], [['floral']]]"
2817244591784973111,4.24400871459695,"[['Skirt'], ['Tee'], ['Dress']]",2022-04-15_22-29-07_UTC,268955,482,"[[['floral']], [['floral']], [['floral']]]"
2829639399257466097,4.160384615384616,"[['Blouse'], ['Blouse']]",2022-05-03_00-55-24_UTC,779454,1944,"[[['floral', 'print']], [['floral', 'print']]]"
2829639399257466097,4.160384615384616,"[['Blouse'], ['Blouse']]",2022-05-03_00-55-24_UTC,779456,1944,"[[['floral', 'print']], [['floral', 'print']]]"
2830333368396370656,4.15015015015015,"[['Tee'], ['Tee']]",2022-05-03_23-54-11_UTC,558670,1084,"[[['print']], [['print']]]"
