post_id,sentiment_label,textura
2062791437233396551,3.817973669147109,"[[['print']], [['print']]]"
2097568187229975930,4.017249205628688,"[[['print']], [['floral']], [['floral', 'print']]]"
2120739426077499911,3.9645583424209376,[[['print']]]
2135314990125799242,3.9633740288568258,"[[['floral', 'print']], [['print']], [['print']], [['floral', 'print']], [['print']]]"
2183846987579986109,3.967830882352941,"[[['floral', 'print']], [['floral', 'print']]]"
2191820692461254858,4.021219366407651,"[[['print']], [['print']], [['print']]]"
2219367304167392131,4.119124797406808,"[[['print']], [['print']]]"
2233155730332748133,3.9397769516728633,"[[['floral']], [['floral', 'print']]]"
2242554210392703929,4.14182147711826,[[['print']]]
2254882247752381318,4.098099325567136,"[[['floral']], [['floral']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
2257777022449194629,4.186877562975981,"[[['floral']], [['floral']], [['floral']]]"
2261292485325938175,3.99219968798752,[[['floral']]]
2274431016416204541,4.147900182592818,"[[['floral']], [['floral']]]"
2276620605188809993,4.241379310344827,"[[['floral', 'print']]]"
2284673083652608522,4.220375722543353,[[['print']]]
2315769425061561041,4.252153744201458,"[[['floral']], [['floral', 'print']]]"
2316520251799534935,4.064827941745071,"[[['floral']], [['floral']], [['floral']]]"
2338966326892169261,4.215862632869992,"[[['floral']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
2354968373194018142,4.159246107620868,"[[['floral']], [['floral', 'print']], [['floral', 'print']], [['floral']], [['floral', 'print']]]"
2355639959194542861,4.214957666980244,"[[['floral']], [['floral']]]"
2367945427449252209,4.184948979591836,"[[['print']], [['print']], [['print']]]"
2385308636229364556,4.166201766620176,"[[['floral']], [['floral', 'print']]]"
2387482545852800823,4.1905099150141645,"[[['print']], [['graphic']]]"
2395458039672148026,4.194457603031738,"[[['floral']], [['floral']], [['graphic']]]"
2397595211868845055,4.247869868319133,"[[['print']], [['floral']], [['print']], [['floral']]]"
2422372249389480472,4.02138422625891,"[[['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
2470119690108475145,4.156164383561644,"[[['floral', 'print']], [['floral', 'print']], [['floral', 'print']], [['floral', 'print']]]"
2477355789897837373,4.42150803461063,"[[['floral', 'print']], [['floral']], [['floral', 'print']]]"
2536019174591796277,4.029545454545454,"[[['print']], [['print']]]"
2542605578176151629,4.082802547770701,"[[['print']], [['print']]]"
2544031310110701997,4.103139013452915,"[[['floral', 'print']], [['floral']]]"
2554958670888585557,4.378443113772455,"[[['print']], [['print']], [['print']]]"
2555578024609125819,4.192401960784314,"[[['floral', 'print']], [['floral']]]"
2566464138106502651,4.346244131455399,"[[['floral']], [['floral', 'print']]]"
2567232000287027681,3.8296795952782463,"[[['floral']], [['print']], [['print']], [['floral']]]"
2596937829332098778,4.25395958492627,"[[['print']], [['print']], [['floral', 'print']]]"
2608552460668391018,4.013462976813762,"[[['graphic']], [['print']], [['graphic']], [['floral', 'print']]]"
2620183242415768183,4.272617611580217,"[[['print']], [['print']]]"
2623787758872591064,4.386153846153846,"[[['print']], [['print']]]"
2634639755204961821,4.264028776978417,"[[['floral']], [['print']]]"
2651275434039107981,4.1511238641798185,"[[['print']], [['print']], [['print']]]"
2662156614630491390,4.311515151515152,"[[['floral']], [['print']]]"
2666508193378793407,4.10327868852459,"[[['floral', 'print']], [['print']], [['floral', 'print']], [['print']]]"
2668694323704583889,4.254237288135593,"[[['floral']], [['floral', 'print']], [['floral']]]"
2681747289365554019,4.265969802555168,"[[['print']], [['print']], [['floral']]]"
2692644429872810407,4.263915547024952,"[[['print']], [['print']], [['print']], [['print']]]"
2707861172408896097,3.997338065661047,"[[['floral', 'print']], [['print']], [['floral', 'print']]]"
2712986644771892100,4.199751861042183,"[[['floral']], [['print']], [['print']]]"
2715057531604136271,4.141756548536209,"[[['print']], [['floral']], [['floral']], [['floral']], [['floral', 'print']]]"
2720914159385458048,4.142659279778393,"[[['floral']], [['floral']], [['floral', 'print']], [['floral']]]"
2737603284691861106,4.125130344108446,"[[['floral', 'print']], [['print']], [['floral']], [['floral', 'print']]]"
2742629501300328761,4.284403669724771,"[[['print']], [['print']]]"
2751342500118627886,4.190997566909975,"[[['print']], [['floral']]]"
2754189577542656828,4.306196840826246,"[[['floral']], [['floral']]]"
